site	sr	mix.nest	level	tempCV	tempSD	tempMean
Sweden	12	176	Species	89.1002	23.5521	26.4333
Sweden	12	176	Species	135.4122	41.3007	30.5000
Sweden	12	176	Species	99.5893	12.0503	12.1000
Sweden	12	176	Species	173.2051	26.0962	15.0667
Sweden	12	176	Species	152.0125	55.1805	36.3000
Sweden	12	176	Species	173.2051	0.0577	0.0333
Sweden	12	176	Species	86.6025	0.1155	0.1333
Sweden	12	176	Species	117.4999	0.6658	0.5667
Sweden	12	176	Species	173.2051	2.4249	1.4000
Sweden	12	176	Species	95.0464	302.0257	317.7667
Sweden	12	176	Species	87.3372	84.5715	96.8333
Sweden	12	176	Species	146.3202	38.3359	26.2000
Sweden	12	176	Species	136.1625	9.3952	6.9000
Sweden	12	176	Species	137.7664	0.3215	0.2333
Sweden	12	176	Species	173.2051	83.9467	48.4667
Sweden	12	176	Species	92.2186	24.0076	26.0333
Sweden	12	176	Species	173.2051	1.3279	0.7667
Sweden	12	176	Species	173.2051	4.2724	2.4667
Sweden	12	176	Species	173.2051	15.4153	8.9000
Sweden	12	176	Species	158.6068	21.4119	13.5000
Sweden	12	176	Species	173.2051	35.7380	20.6333
Sweden	12	176	Species	139.7448	31.5357	22.5667
Sweden	12	176	Species	173.2051	7.4478	4.3000
Sweden	12	176	Species	173.2051	0.6928	0.4000
Sweden	12	176	Species	67.6682	3.4962	5.1667
Sweden	12	176	Species	91.7727	4.9863	5.4333
Sheffield	1	177	Community	103.5116	135.1171	130.5333
Sheffield	1	177	Community	111.3730	154.1402	138.4000
Sheffield	1	177	Group	103.5116	135.1171	130.5333
Sheffield	1	177	Group	111.3730	154.1402	138.4000
Sheffield	1	177	Species	103.5116	135.1171	130.5333
Sheffield	1	177	Species	111.3730	154.1402	138.4000
Sheffield	1	178	Community	18.4911	44.7054	241.7667
Sheffield	1	178	Community	18.6707	54.1449	290.0000
Sheffield	1	178	Group	18.4911	44.7054	241.7667
Sheffield	1	178	Group	18.6707	54.1449	290.0000
Sheffield	1	178	Species	18.4911	44.7054	241.7667
Sheffield	1	178	Species	18.6707	54.1449	290.0000
Sheffield	1	179	Community	76.7778	460.8460	600.2333
Sheffield	1	179	Community	73.9968	444.3757	600.5333
Sheffield	1	179	Group	76.7778	460.8460	600.2333
Sheffield	1	179	Group	73.9968	444.3757	600.5333
Sheffield	1	179	Species	76.7778	460.8460	600.2333
Sheffield	1	179	Species	73.9968	444.3757	600.5333
Sheffield	1	180	Community	81.0605	257.5023	317.6667
Sheffield	1	180	Community	78.3115	269.6786	344.3667
Sheffield	1	180	Group	81.0605	257.5023	317.6667
Sheffield	1	180	Group	78.3115	269.6786	344.3667
Sheffield	1	180	Species	81.0605	257.5023	317.6667
Sheffield	1	180	Species	78.3115	269.6786	344.3667
Sheffield	1	181	Community	94.0746	254.6285	270.6667
Sheffield	1	181	Community	89.8992	248.2716	276.1667
Sheffield	1	181	Group	94.0746	254.6285	270.6667
Sheffield	1	181	Group	89.8992	248.2716	276.1667
Sheffield	1	181	Species	94.0746	254.6285	270.6667
